CTR_MN_NM,VALUE_NUMERIC
Afghanistan,57.40378189
Albania,74.36082459
Algeria,75.50643158
Angola,60.00746155
Argentina,71.5945282
Armenia,68.59851074
Australia,81.30883026
Austria,78.65946198
Azerbaijan,70.49563599
Bahamas,67.32828522
Bahrain,73.81990051
Bangladesh,71.64660645
Barbados,75.12224579
Belarus,68.06072998
Belgium,79.28523254
Belize,71.36484528
Benin,61.71936035
Bhutan,73.92720795
Bosnia and Herzegovina,72.55525208
Botswana,59.22470856
Brazil,69.04411316
Bulgaria,67.97640228
Burkina Faso,59.87614059
Burundi,62.04709244
Cambodia,66.3507309
Cameroon,59.88696289
Canada,79.37275696
Central African Republic,49.57149124
Chad,57.53495789
Chile,76.68998718
China,74.95413208
Colombia,71.55393219
Comoros,66.30130768
Costa Rica,75.87686157
Croatia,73.77732086
Cuba,71.12595367
Cyprus,79.8661499
C̫te d'Ivoire,61.3910408
Democratic Republic of the Congo,59.42621613
Denmark,79.46414185
Djibouti,63.04217911
Dominican Republic,70.16326904
Ecuador,70.95068359
Egypt,66.68998718
El Salvador,66.76773071
Equatorial Guinea,60.17118835
Eritrea,60.90835953
Estonia,72.82558441
Ethiopia,65.96191406
Fiji,63.49181747
Finland,79.00774384
France,79.07624054
Gabon,62.68143845
Gambia,62.22161865
Georgia,66.85416412
Germany,78.14950562
Ghana,63.69049072
Greece,77.25505829
Guatemala,65.64514923
Guinea,59.94664383
Guinea-Bissau,56.07573318
Guyana,62.97730255
Haiti,61.6996727
Honduras,67.43759155
Hungary,70.94422913
Iceland,81.32974243
India,65.77192688
Indonesia,66.41326904
Iraq,68.88970947
Ireland,79.86626434
Israel,82.38661957
Italy,79.97563171
Jamaica,67.6437912
Japan,81.70918274
Jordan,74.56877899
Kazakhstan,66.36555481
Kenya,64.39587402
Kuwait,77.31715393
Kyrgyzstan,68.53290558
Latvia,68.49511719
Lebanon,71.24979401
Lesotho,48.73088074
Liberia,62.64177322
Libya,70.22740936
Lithuania,69.58664703
Luxembourg,80.76781464
Madagascar,61.86037064
Malawi,59.72269821
Malaysia,70.63626099
Maldives,74.50918579
Mali,61.08021927
Malta,79.95901489
Mauritania,68.37985992
Mauritius,70.13596344
Mexico,67.20090485
Mongolia,66.41682434
Montenegro,71.62459564
Morocco,71.53595734
Mozambique,54.8007164
Myanmar,64.71030426
Namibia,57.26867294
Nepal,68.26541138
New Zealand,80.36105347
Nicaragua,72.26276398
Niger,59.0294838
Nigeria,62.06702423
Norway,81.50302124
Oman,70.89524841
Pakistan,65.07673645
Panama,74.35268402
Papua New Guinea,64.20317078
Paraguay,67.62709808
Peru,68.81771088
Philippines,63.39790344
Poland,71.55303955
Portugal,78.27281189
Puerto Rico,76.19514465
Qatar,76.03086853
Romania,69.20896149
Rwanda,65.44898987
Saudi Arabia,75.73210144
Senegal,65.94354248
Serbia,69.98960876
Sierra Leone,60.1534729
Singapore,81.57605743
Slovakia,71.12509155
Slovenia,77.53865814
Solomon Islands,62.55214691
Somalia,51.74982452
South Africa,58.90287018
South Sudan,56.47971344
Spain,79.98629761
Sri Lanka,74.15829468
Sudan,66.24964905
Suriname,66.95529938
Sweden,81.02213287
Switzerland,81.48440552
Tajikistan,70.1727829
Thailand,71.76036835
Timor-Leste,66.52957916
Togo,61.53856659
Trinidad and Tobago,68.41078949
Tunisia,71.51194
Turkmenistan,65.70659637
Uganda,62.92684174
Ukraine,66.33380127
United Arab Emirates,77.17597961
United Kingdom,78.27424622
Uruguay,71.24718475
Uzbekistan,70.1640625
Yemen,63.08852768
Zambia,58.72094727
Zimbabwe,56.1946106
